name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars,price_level,price_numeric,years_since_award,decade,hemisphere,continent,has_url,name_length,name_word_count,distance_to_ny,city_restaurant_density,climate_zone,coastal_proximity
Kilian Stuba,2019,47.34858,10.17114,Kleinwalsertal,Austria,87568,Creative,$$$$$,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,1,Luxury,5,6,2010,Northern,Europe,True,12,2,6434.875039262924,1,Temperate,Inland
Pfefferschiff,2019,47.83787,13.07917,Hallwang,Austria,5300,Classic,$$$$$,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,1,Luxury,5,6,2010,Northern,Europe,True,13,1,6602.5839910929135,1,Temperate,Inland
Esszimmer,2019,47.80685,13.03409,Salzburg,Austria,5020,Creative,$$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,1,Luxury,5,6,2010,Northern,Europe,True,9,1,6601.263299809894,4,Temperate,Inland
Carpe Diem,2019,47.80001,13.04006,Salzburg,Austria,5020,Market,$$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,1,Luxury,5,6,2010,Northern,Europe,True,10,2,6602.017194621386,4,Temperate,Inland
Edvard,2019,48.216503,16.36852,Wien,Austria,1010,Modern,$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,1,Very Expensive,4,6,2010,Northern,Europe,True,6,1,6795.527851128445,13,Temperate,Inland
Das Loft,2019,48.21272,16.37931,Wien,Austria,1020,Modern,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,1,Luxury,5,6,2010,Northern,Europe,True,8,2,6796.430513189835,13,Temperate,Inland
Pramerl & the Wolf,2019,48.20945,16.37174,Wien,Austria,1090,Creative,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,1,Luxury,5,6,2010,Northern,Europe,True,18,4,6796.127015816204,13,Temperate,Inland
Walter Bauer,2019,48.20923,16.37672,Wien,Austria,1010,Classic,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,1,Luxury,5,6,2010,Northern,Europe,True,12,2,6796.458701243403,13,Temperate,Inland
SHIKI,2019,48.204067,16.37098,Wien,Austria,1010,Japanese,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,1,Luxury,5,6,2010,Northern,Europe,True,5,1,6796.377958435891,13,Temperate,Inland
Tian,2019,48.20513,16.37456,Wien,Austria,1010,Vegetarian,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,1,Luxury,5,6,2010,Northern,Europe,True,4,1,6796.548426721833,13,Temperate,Inland
aend,2019,48.18957,16.34115,Wien,Austria,1010,Modern,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,1,Luxury,5,6,2010,Northern,Europe,True,4,1,6795.271011244168,13,Temperate,Inland
Le Ciel by Toni Mörwald,2019,48.20209,16.37156,Wien,Austria,1010,Classic,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,1,Luxury,5,6,2010,Northern,Europe,True,23,5,6796.525239714431,13,Temperate,Inland
Chez TJ,2019,37.39468,-122.08044,South San Francisco,California,94041,Modern,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,1,Very Expensive,4,6,2010,Northern,Americas,True,7,2,4115.728722879272,6,Temperate,Near Coastal
Protégé,2019,37.427853,-122.14362,South San Francisco,California,94301,Modern,$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege,1,Expensive,3,6,2010,Northern,Americas,True,7,1,4119.666791805825,6,Temperate,Coastal
